incident_id,timestamp,attack_type,affected_systems,severity_level,response_time_min,country,industry,data_compromised,resolution_status,flow_bytes_per_s,flow_packets_per_s,protocol,source_ip,destination_ip,attack_success
INC-10000,2023-01-03 22:23:00,Phishing,Cloud Infrastructure,Medium,1281,Germany,Healthcare,282.19,Resolved,780845.11,2668.53,HTTP,192.168.219.3,10.0.45.139,Yes
INC-10001,2023-01-24 01:53:00,SQL Injection,Database,Medium,729,China,Manufacturing,78.66,Resolved,267557.29,4173.5,ICMP,192.168.70.95,10.0.177.173,No
INC-10002,2023-06-16 03:08:00,SQL Injection,IoT Device,Critical,1116,USA,Tech,269.49,Resolved,635778.79,4100.45,HTTP,192.168.80.85,10.0.183.21,No
INC-10003,2023-08-26 09:47:00,Brute Force,Database,High,1141,UK,Healthcare,24.46,Resolved,162498.0,7846.94,SMTP,192.168.82.166,10.0.102.102,No
INC-10004,2023-05-23 10:34:00,DDoS,Network Router,Critical,992,China,Education,391.12,Unresolved,168162.14,7414.55,SMTP,192.168.178.243,10.0.12.213,No
INC-10005,2023-12-09 08:32:00,DDoS,IoT Device,Critical,960,India,Government,290.72,Unresolved,475547.18,3815.89,UDP,192.168.88.141,10.0.139.17,Yes
INC-10006,2023-08-11 21:02:00,DDoS,End-User System,Low,227,UK,Education,390.1,Unresolved,757250.27,586.79,UDP,192.168.155.108,10.0.235.106,Yes
INC-10007,2023-10-16 08:20:00,DDoS,IoT Device,Medium,1395,Germany,Healthcare,315.31,Resolved,978578.51,6908.19,HTTP,192.168.139.120,10.0.60.45,Yes
INC-10008,2023-12-02 03:26:00,Ransomware,Web Server,High,1056,UK,Manufacturing,79.66,Resolved,489628.35,7049.23,DNS,192.168.129.32,10.0.82.25,Yes
INC-10009,2023-03-30 02:29:00,DDoS,Cloud Infrastructure,Critical,873,Australia,Finance,30.55,Resolved,526307.92,9923.13,ICMP,192.168.126.222,10.0.244.0,No
INC-10010,2023-12-28 02:52:00,DDoS,Cloud Infrastructure,Medium,952,Australia,Manufacturing,431.72,Unresolved,437674.06,6691.94,UDP,192.168.144.159,10.0.71.29,No
INC-10011,2023-08-28 07:35:00,Malware,Database,Low,785,UK,Education,491.27,Resolved,20651.48,4251.59,DNS,192.168.4.17,10.0.189.158,No
INC-10012,2023-02-26 11:33:00,DDoS,End-User System,Medium,179,India,Government,160.13,Resolved,387921.46,3663.06,TCP,192.168.45.166,10.0.192.167,No
INC-10013,2023-11-08 10:17:00,Ransomware,Cloud Infrastructure,Critical,785,Brazil,Government,367.6,Resolved,343060.28,3481.89,SMTP,192.168.102.195,10.0.189.67,Yes
INC-10014,2023-10-06 23:27:00,Brute Force,Network Router,Critical,552,China,Tech,272.32,Resolved,557456.71,7493.22,HTTPS,192.168.163.75,10.0.137.197,Yes
INC-10015,2023-03-02 16:11:00,Ransomware,Network Router,High,784,China,Retail,468.3,Resolved,887945.1,3208.06,HTTPS,192.168.92.46,10.0.193.168,Yes
INC-10016,2023-11-16 22:10:00,Brute Force,End-User System,Low,1241,India,Manufacturing,19.16,Resolved,464976.3,7377.5,ICMP,192.168.38.19,10.0.222.146,No
INC-10017,2023-12-31 22:40:00,Ransomware,Database,Critical,1310,Germany,Government,278.47,Unresolved,623932.53,6571.34,DNS,192.168.107.51,10.0.18.248,No
INC-10018,2023-12-20 23:53:00,Malware,Database,Medium,843,India,Healthcare,243.77,Resolved,754057.17,9278.77,DNS,192.168.145.112,10.0.98.45,Yes
INC-10019,2023-02-23 04:02:00,Man-in-the-Middle,Network Router,Medium,977,Brazil,Healthcare,385.03,Resolved,641630.47,6479.37,TCP,192.168.127.128,10.0.15.205,No
INC-10020,2023-10-11 15:08:00,Malware,End-User System,High,1017,USA,Tech,320.72,Unresolved,128121.02,8118.64,ICMP,192.168.142.255,10.0.54.16,No
INC-10021,2023-03-14 23:11:00,Phishing,Cloud Infrastructure,Low,617,USA,Education,65.66,Resolved,164683.23,2074.41,DNS,192.168.185.230,10.0.48.186,No
INC-10022,2023-04-23 10:21:00,DDoS,Database,Critical,455,Brazil,Government,12.8,Resolved,160286.85,1594.85,HTTP,192.168.86.219,10.0.224.86,Yes
INC-10023,2023-06-24 00:26:00,Malware,Network Router,Low,763,France,Retail,456.94,Unresolved,483844.28,7903.34,TCP,192.168.26.76,10.0.203.84,Yes
INC-10024,2023-04-30 09:36:00,SQL Injection,Network Router,Critical,111,China,Tech,235.18,Resolved,576379.03,4105.0,ICMP,192.168.144.51,10.0.21.110,No
INC-10025,2023-04-28 02:40:00,DDoS,IoT Device,Low,900,Canada,Finance,446.69,Unresolved,15899.13,1801.68,HTTPS,192.168.37.193,10.0.239.25,No
INC-10026,2023-11-20 13:12:00,SQL Injection,Network Router,Critical,434,Canada,Manufacturing,206.14,Unresolved,855398.84,211.21,TCP,192.168.215.68,10.0.166.211,Yes
INC-10027,2023-05-22 05:54:00,DDoS,End-User System,Medium,806,UK,Finance,385.02,Unresolved,905413.77,9055.93,ICMP,192.168.107.149,10.0.20.36,Yes
INC-10028,2023-03-03 11:37:00,Malware,Web Server,High,952,India,Government,135.41,Unresolved,155039.61,1351.47,HTTP,192.168.103.135,10.0.241.219,Yes
INC-10029,2023-07-23 04:54:00,Phishing,Network Router,Critical,969,Brazil,Tech,153.41,Resolved,96952.89,6570.91,DNS,192.168.140.157,10.0.11.2,No
